date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:34	133223/133223	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:33%20GMT	https://www.gotur.kz/tury/dominikanskaia-resp/almaty.html	./gotur-website/www.gotur.kz/tury/dominikanskaia-resp/almaty.html	(from https://www.gotur.kz/)
00:01:35	223343/223343	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:34%20GMT	https://www.gotur.kz/tury/kitaj/almaty.html	./gotur-website/www.gotur.kz/tury/kitaj/almaty.html	(from https://www.gotur.kz/)
00:01:36	167708/167708	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:35%20GMT	https://www.gotur.kz/tury/rannee-bronirovanie.html	./gotur-website/www.gotur.kz/tury/rannee-bronirovanie.html	(from https://www.gotur.kz/)
00:01:37	150327/150327	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:36%20GMT	https://www.gotur.kz/tury/gornolyzhnye-tury.html	./gotur-website/www.gotur.kz/tury/gornolyzhnye-tury.html	(from https://www.gotur.kz/)
00:01:38	168565/168565	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:37%20GMT	https://www.gotur.kz/tury/goryashchie-tury.html	./gotur-website/www.gotur.kz/tury/goryashchie-tury.html	(from https://www.gotur.kz/)
00:01:39	165083/165083	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:38%20GMT	https://www.gotur.kz/tury/individualnye-i-vip-tury.html	./gotur-website/www.gotur.kz/tury/individualnye-i-vip-tury.html	(from https://www.gotur.kz/)
00:01:40	154808/154808	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:39%20GMT	https://www.gotur.kz/tury/kombinirovannye-tury.html	./gotur-website/www.gotur.kz/tury/kombinirovannye-tury.html	(from https://www.gotur.kz/)
00:01:41	146623/146623	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:40%20GMT	https://www.gotur.kz/tury/morskie-kruizy.html	./gotur-website/www.gotur.kz/tury/morskie-kruizy.html	(from https://www.gotur.kz/)
00:01:42	151922/151922	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:41%20GMT	https://www.gotur.kz/tury/lechebnye-tury.html	./gotur-website/www.gotur.kz/tury/lechebnye-tury.html	(from https://www.gotur.kz/)
00:01:43	168831/168831	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:42%20GMT	https://www.gotur.kz/tury/plyazhnyj-otdykh.html	./gotur-website/www.gotur.kz/tury/plyazhnyj-otdykh.html	(from https://www.gotur.kz/)
00:01:44	153764/153764	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:43%20GMT	https://www.gotur.kz/tury/svadebnye-tury.html	./gotur-website/www.gotur.kz/tury/svadebnye-tury.html	(from https://www.gotur.kz/)
00:01:45	155477/155477	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:44%20GMT	https://www.gotur.kz/tury/tury-na-prazdniki-meropriyatiya.html	./gotur-website/www.gotur.kz/tury/tury-na-prazdniki-meropriyatiya.html	(from https://www.gotur.kz/)
00:01:46	131289/131289	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:45%20GMT	https://www.gotur.kz/tury/shop-tury.html	./gotur-website/www.gotur.kz/tury/shop-tury.html	(from https://www.gotur.kz/)
00:01:47	152695/152695	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:46%20GMT	https://www.gotur.kz/tury/ekskursionnye-tury.html	./gotur-website/www.gotur.kz/tury/ekskursionnye-tury.html	(from https://www.gotur.kz/)
00:01:48	148570/148570	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:47%20GMT	https://www.gotur.kz/tury/avtobusnye-tury.html	./gotur-website/www.gotur.kz/tury/avtobusnye-tury.html	(from https://www.gotur.kz/)
00:01:49	154417/154417	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:48%20GMT	https://www.gotur.kz/tury/detskij-otdykh.html	./gotur-website/www.gotur.kz/tury/detskij-otdykh.html	(from https://www.gotur.kz/)
00:01:50	153789/153789	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:49%20GMT	https://www.gotur.kz/tury/newyear.html	./gotur-website/www.gotur.kz/tury/newyear.html	(from https://www.gotur.kz/)
00:01:51	154013/154013	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:50%20GMT	https://www.gotur.kz/tury/spring-break-and-nauryz.html	./gotur-website/www.gotur.kz/tury/spring-break-and-nauryz.html	(from https://www.gotur.kz/)
00:01:52	133730/133730	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:51%20GMT	https://www.gotur.kz/tury/may_holidays_tours.html	./gotur-website/www.gotur.kz/tury/may_holidays_tours.html	(from https://www.gotur.kz/)
00:01:54	154235/154235	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:52%20GMT	https://www.gotur.kz/tury/osennie-kanikuly.html	./gotur-website/www.gotur.kz/tury/osennie-kanikuly.html	(from https://www.gotur.kz/)
00:01:54	117597/117597	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:53%20GMT	https://www.gotur.kz/strany.html	./gotur-website/www.gotur.kz/strany.html	(from https://www.gotur.kz/)
00:01:55	73474/73474	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:54%20GMT	https://www.gotur.kz/oteli.html	./gotur-website/www.gotur.kz/oteli.html	(from https://www.gotur.kz/)
00:01:56	61831/61831	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:55%20GMT	https://www.gotur.kz/blogs.html	./gotur-website/www.gotur.kz/blogs.html	(from https://www.gotur.kz/)
00:01:58	129416/129416	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:56%20GMT	https://www.gotur.kz/news.html	./gotur-website/www.gotur.kz/news.html	(from https://www.gotur.kz/)
00:01:58	113964/113964	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:57%20GMT	https://www.gotur.kz/tury/vizy-registratsiya.html	./gotur-website/www.gotur.kz/tury/vizy-registratsiya.html	(from https://www.gotur.kz/)
00:01:59	112012/112012	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:58%20GMT	https://www.gotur.kz/oteli/kazakhstan.html	./gotur-website/www.gotur.kz/oteli/kazakhstan.html	(from https://www.gotur.kz/)
00:02:00	110852/110852	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:59%20GMT	https://www.gotur.kz/oteli/kazakhstan/almatinskaia-obl.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/almatinskaia-obl.html	(from https://www.gotur.kz/)
00:02:01	64848/64848	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:00%20GMT	https://www.gotur.kz/oteli/kazakhstan/aktiubinskaia-obl.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/aktiubinskaia-obl.html	(from https://www.gotur.kz/)
00:02:02	63281/63281	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:01%20GMT	https://www.gotur.kz/oteli/kazakhstan/atyrausaia-obl.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/atyrausaia-obl.html	(from https://www.gotur.kz/)
00:02:03	105581/105581	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:02:02%20GMT	https://www.gotur.kz/oteli/kazakhstan/vostochno-kazakhstanskaia-obl.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/vostochno-kazakhstanskaia-obl.html	(from https://www.gotur.kz/)
